_key,Positive,Total
10001,136,304
10002,317,651
10003,191,438
10004,19,42
10005,28,94
10006,7,26
10007,28,75
10009,236,548
10010,118,336
10011,255,549
10012,77,209
10013,120,265
10014,163,347
10016,295,661
10017,59,173
10018,97,211
10019,226,520
10021,258,672
10022,148,400
10023,231,583
10024,255,731
10025,327,892
10026,166,363
10027,224,504
10028,220,550
10029,373,807
10030,135,247
10031,288,498
10032,389,670
10033,342,593
10034,152,325
10035,216,452
10036,150,331
10037,101,206
10038,93,198
10039,141,271
10040,256,431
10044,59,135
10065,158,460
10069,29,69
10075,188,417
10128,267,690
10280,19,58
10282,28,53
10301,235,423
10302,94,187
10303,144,292
10304,376,667
10305,258,561
10306,351,765
10307,93,186
10308,184,407
10309,215,453
10310,129,269
10312,418,802
10314,619,1218
10451,336,623
10452,509,824
10453,527,845
10454,245,441
10455,233,432
10456,500,886
10457,427,743
10458,453,800
10459,309,534
10460,344,622
10461,444,846
10462,544,1015
10463,327,780
10464,30,72
10465,389,805
10466,510,889
10467,836,1446
10468,529,796
10469,683,1119
10470,108,202
10471,130,343
10472,417,680
10473,437,760
10474,71,120
10475,360,607
11004,274,393
11101,173,277
11102,201,417
11103,153,296
11104,140,264
11105,136,234
11106,136,301
11109,182,354
11201,23,68
11203,236,546
11204,466,737
11205,712,1171
11206,242,412
11207,411,716
11208,479,798
11209,520,794
11210,292,606
11211,524,859
11212,788,1225
11213,395,632
11214,498,772
11215,347,691
11216,203,493
11217,210,396
11218,161,321
11219,499,856
11220,1037,1487
11221,402,654
11222,335,566
11223,131,291
11224,474,858
11225,195,392
11226,353,539
11228,485,786
11229,158,300
11230,423,812
11231,848,1334
11232,154,317
11233,141,222
11234,302,493
11235,531,937
11236,421,841
11237,618,979
11238,235,352
11239,253,465
11354,128,187
11355,230,429
11356,308,496
11357,205,368
11358,151,288
11360,158,320
11361,86,197
11362,118,229
11363,88,193
11364,33,77
11365,149,277
11366,229,418
11367,152,248
11368,403,631
11369,1245,1605
11370,464,623
11372,510,932
11373,697,963
11374,841,1229
11375,419,686
11377,559,1048
11378,515,831
11379,198,353
11385,252,456
11411,606,1021
11412,213,303
11413,348,554
11414,393,618
11415,220,401
11416,185,313
11417,161,248
11418,230,381
11419,293,474
11420,261,450
11421,339,565
11422,280,452
11423,303,470
11426,248,382
11427,141,267
11428,233,400
11429,167,252
11432,536,803
11433,448,711
11434,226,344
11435,409,684
11436,137,205
11691,616,926
11692,155,246
11693,116,189
11694,188,349
11697,30,71